Manufacturer,Comment,Designator,Footprint,Quantity,PartNumber,Supplier
EVERLIGHT,LED,D1 D2 D3 D4 D5 D6,LED_0603_1608Metric,6,C72041,JLC
UniOhm,1.5K,R1 R2 R3 R4 R5 R6,R_0402_1005Metric,6,C25867,JLC
LRC,LESD5Z5.0CT1G,D7 D8 D9 D10 D11 D12 D13,D_SOD-523,7,C136167,JLC-EXT
